Perfil,Estado,Edad,Genero,ScoreCrediticio,PorcentajeFinanciacion,Plazo,IngresoEstimado,Gastos,CapacidadDePago,ValorCuotaMensual,M3_30AC
0,1,45,1,706,0.6447,72,1869161.0,959858.05,1.006520779,903412,0
0,1,70,0,776,1.0,72,7171182.0,2427518.29,3.063893365,1548247,0
1,0,35,1,688,0.815,60,0.0,3284027.86,-2.052325007,1600150,0
1,1,54,1,762,1.0,72,1584665.0,1343271.73,0.091582648,2635797,0
1,1,52,0,885,1.0,72,1768483.0,1563375.63,0.08371456,2450080,0
1,1,62,0,867,0.9384,72,4766117.0,1098947.02,1.526645952,2402109,0
1,0,54,0,747,1.0,84,6348679.0,3689693.23,1.710445979,1554557,0
1,1,37,1,752,1.0,72,3356100.0,2083199.55,0.451406669,2819853,0
1,0,43,1,680,1.0,84,2180995.0,989704.74,1.412679785,843284,0
1,0,43,0,760,0.9955,60,3136219.0,2345932.8,0.435283173,1815568,1
0,1,52,0,830,0.7776,72,24540466.0,10757284.02,3.167175139,4351885,0
1,1,38,0,797,1.0,72,2315670.0,1392480.83,0.197666212,4670445,0
0,1,37,0,743,0.7498,84,6695920.0,2161698.95,1.566084779,2895259,0
1,1,38,1,577,0.7983,72,1576529.0,941461.94,0.53110443,1195748,0
0,1,60,1,817,0.9004,72,4120945.0,1434382.85,1.085170109,2475706,1
0,1,51,1,936,0.4865,72,9922545.0,4635666.78,2.401044104,2201908,0
1,1,54,0,737,1.0,72,2351035.0,1188913.45,0.675356792,1720752,0
1,1,29,1,717,1.0,84,1064573.0,826115.61,0.143294161,1664111,0
1,1,54,1,630,0.4299,72,0.0,568324.72,-0.639588286,888579,0
1,0,32,1,697,0.9009,84,2027740.0,1069543.98,0.824000175,1162859,0
1,1,48,0,799,1.0,72,0.0,980167.48,-0.484805181,2021776,0
1,1,37,0,860,0.8436,60,0.0,2414318.71,-0.805259011,2998189,0
1,1,29,0,666,0.8255,84,3672182.0,1720610.02,1.528279752,1276973,0
0,1,38,0,780,0.6316,60,10783317.0,4061606.4,1.985373588,3385615,0
1,1,67,0,770,0.556,72,10459853.0,7257573.45,1.948448831,1643502,0
0,1,54,0,780,1.0,60,2207764.0,1096713.75,0.563895591,1970312,0
1,1,39,0,784,0.9016,60,2529993.0,1544736.05,0.654623593,1505074,0
0,1,63,0,784,0.4705,12,30000000.0,16954571.11,3.473280288,3755939,0
0,0,33,0,758,1.0,48,1999946.0,1012520.83,1.139129939,866824,0
0,1,40,0,788,1.0,72,1024119.0,1187752.47,-0.056663026,2887835,0
1,1,57,0,836,1.0,72,7165263.0,738591.73,2.917486462,2202811,0
1,0,37,1,854,0.7463,72,3898076.0,2018237.98,1.497735691,1255120,0
0,0,47,1,886,1.0,72,2073672.0,810876.98,1.060684727,1190547,0
0,1,35,0,817,0.973,60,4325400.0,3002170.9,0.598342521,2211491,0
1,1,48,1,908,0.7186,60,11445594.0,4390269.05,2.311170037,3052707,0
0,1,30,0,693,0.8,84,3341919.0,1341053.83,0.5027427,3979899,0
0,1,36,0,784,1.0,84,6321000.0,2177373.73,0.950397412,4359888,0
0,0,27,0,783,0.6248,60,2910780.0,1204355.17,1.434265735,1189755,0
1,0,27,1,795,1.0,72,1857520.0,785522.54,1.066818058,1004855,0
1,1,60,1,721,1.0,72,0.0,2800061.97,-1.300296912,2153402,0
1,1,64,0,714,0.4258,72,8100563.0,7043214.73,0.643668781,1642690,0
1,1,56,1,759,1.0,72,5003056.0,3007906.03,0.756289226,2638078,0
1,1,39,1,862,0.5,72,8012304.0,1034373.03,3.996942961,1745817,0
0,0,30,0,661,0.8333,60,2573334.0,1035432.55,0.62663604,2454218,0
1,1,48,1,810,0.7533,72,5560130.0,2067220.81,1.802463443,1937853,0
1,1,25,1,842,0.7262,72,3736751.0,1390320.16,1.777313674,1320212,0
0,0,34,1,739,0.8,84,9709874.0,4865129.12,2.087716676,2320595,1
0,0,66,0,690,0.7893,48,1527400.0,411441.16,1.154845968,966327,0
0,1,53,1,956,1.0,72,4182473.0,1885042.11,0.580563401,3957244,0
1,1,35,0,684,0.9969,60,0.0,1819417.83,-1.017350157,1788389,0
0,1,31,1,861,0.8779,84,1985345.0,2457277.01,-0.254956986,1851026,0
1,1,42,0,786,0.4068,72,2018344.0,1224583.18,1.247179108,636445,0
1,1,43,1,809,1.0209,72,1657832.0,1160884.86,0.233895561,2124654,0
1,1,67,1,803,1.0154,72,8386566.0,3606175.4,1.805831756,2647196,0
1,1,30,1,744,1.0,72,2508652.0,1959720.17,0.354347088,1549136,0
1,0,56,1,731,0.6203,84,1901015.0,2439445.92,-0.179619819,2997614,0
0,0,58,0,829,0.3448,84,3952600.0,809324.33,2.627899838,1196117,0
0,0,52,0,709,0.7634,60,2813086.0,1031177.58,1.69116234,1053659,0
1,0,37,0,677,0.3846,72,3648381.0,2236322.31,2.181503244,647287,0
0,1,42,1,752,0.6364,72,2294093.0,835372.58,0.837024591,1742745,0
1,1,43,1,791,0.7687,72,14614311.0,3953448.43,8.425827553,1265260,0
1,1,54,1,714,0.4193,60,8015533.0,2746725.42,2.388669423,2205750,0
1,1,71,0,838,1.0,72,2431546.0,2388393.76,0.006348543,6797188,0
1,1,31,0,976,0.8599,72,2656157.0,1085133.98,1.014488714,1548586,0
0,1,44,1,832,1.0,72,6640461.0,1615745.19,2.351895154,2136454,0
1,1,45,0,680,0.837,72,1333885.0,1076234.52,0.182390891,1412628,0
1,1,43,1,781,1.0,72,8681831.0,1223460.82,3.217625995,2317973,0
1,1,44,0,710,0.7,72,4862611.0,3381411.68,0.626635631,2363733,0
0,1,48,1,801,0.823,72,34113800.0,17823223.71,6.581255957,2475299,0
